GrLivArea,OverallQual,TotRmsAbvGrd,GarageCars,KitchenQual,GarageArea,1stFlrSF,TotalBsmtSF,BsmtQual,FullBath,SalePrice
1710,7,8,2,2,548,856,856,3.0,2,12.24769911637256
1262,6,6,2,1,460,1262,1262,3.0,2,12.109016442313738
1786,7,6,2,2,608,920,920,3.0,2,12.317171167298682
1717,7,7,3,2,642,961,756,2.0,1,11.849404844423074
2198,8,9,3,2,836,1145,1145,3.0,2,12.429220196836383
1362,5,5,2,1,480,796,796,3.0,1,11.870606902224587
1694,8,7,2,2,636,1694,1686,4.0,2,12.634606283893019
2090,7,7,2,1,484,1107,1107,3.0,2,12.206077645517674
1774,7,8,2,1,468,1022,952,2.0,2,11.774527900858468
1077,5,5,1,1,205,1077,991,2.0,1,11.678448377988165
1040,5,5,1,1,384,1040,1040,2.0,1,11.771443882099637
2324,9,11,3,3,736,1182,1175,4.0,3,12.75130259456002
912,5,4,1,1,352,912,912,2.0,1,11.87757552297847
1494,7,7,3,2,840,1494,1494,3.0,2,12.540761149388421
1253,6,5,1,1,352,1253,1253,2.0,1,11.964007453736912
854,7,5,2,1,576,854,832,2.0,1,11.790564777297387
1004,6,5,2,1,480,1004,1004,2.0,1,11.91170829631447
1296,4,6,2,1,516,1296,0,0,2,11.407576060361786
1114,5,6,2,2,576,1114,1114,2.0,1,11.976665770490767
1339,5,6,1,1,294,1339,1029,2.0,1,11.842236406331555
2376,8,9,3,2,853,1158,1158,4.0,3,12.692506186542177
1108,7,6,1,2,280,1108,637,2.0,1,11.845109950883979
1795,8,7,2,2,534,1795,1777,3.0,2,12.345838935721968
1060,5,6,2,1,572,1060,1040,3.0,1,11.774527900858468
1060,5,6,1,2,270,1060,1060,2.0,1,11.944714374881176
1600,8,7,3,2,890,1600,1566,3.0,2,12.454107814022272
900,5,5,2,2,576,900,900,2.0,1,11.811554895830454
1704,8,7,3,2,772,1704,1704,4.0,2,12.631343648903034
1600,5,6,1,1,319,1600,1484,2.0,1,12.242891437918386
520,4,4,1,0,240,520,520,2.0,1,11.134603622683905
1317,4,6,1,1,250,649,649,2.0,1,10.596659732783579
1228,5,6,1,2,271,1228,1228,2.0,1,11.914054519303125
1234,8,7,2,2,484,1234,1234,4.0,2,12.100161978566867
1700,5,6,2,2,447,1700,1398,2.0,1,12.016732516077072
1561,9,6,2,3,556,1561,1561,4.0,2,12.533579815765737
2452,8,9,3,2,691,1132,1117,4.0,3,12.6410997921206
1097,5,6,2,1,672,1097,1097,3.0,1,11.884495917930655
1297,5,5,2,1,498,1297,1297,2.0,1,11.938199736300925
1057,5,5,1,2,246,1057,1057,2.0,1,11.599112335481124
1152,4,6,0,0,0,1152,0,0,2,11.314486721293981
1324,6,6,2,1,440,1324,1088,2.0,2,11.982935344196433
1328,5,5,1,1,308,1328,1350,2.0,1,12.04355959836804
884,5,5,2,2,504,884,840,3.0,1,11.87757552297847
938,5,5,1,1,308,938,938,3.0,1,11.777218637129327
1150,5,6,1,1,300,1150,1150,2.0,1,11.856522261533737
1752,9,6,2,3,576,1752,1752,4.0,2,12.675766851909591
2149,7,6,2,2,670,1518,1434,4.0,1,12.387089184491993
1656,8,7,3,2,826,1656,1656,3.0,2,12.428019481065613
1452,4,8,0,1,0,736,736,2.0,2,11.635151947212842
955,5,6,1,1,386,955,955,2.0,1,11.751950239425476
1470,6,6,2,1,388,794,794,3.0,2,12.083910661257521
1176,6,6,2,1,528,816,816,2.0,1,11.648338835562747
816,5,5,2,1,516,816,816,3.0,1,11.608244735642321
1842,9,5,3,2,894,1842,1842,4.0,0,12.861001210669146
1360,5,6,2,1,572,1360,384,2.0,1,11.775297421715827
1425,6,7,2,1,576,1425,1425,2.0,2,12.103491596905931
1739,8,7,2,2,480,983,970,3.0,2,12.058158312538197
1720,7,7,2,2,565,860,860,3.0,2,12.188422799337028
2945,10,10,3,2,641,1426,1410,4.0,3,12.991755706536901
780,5,4,1,1,352,780,780,2.0,1,11.735276702486741
1158,6,5,2,2,576,1158,1158,3.0,1,11.970356641102999
1111,5,6,1,0,288,581,530,2.0,1,11.522885696764481
1370,8,6,2,2,484,1370,1370,3.0,2,12.218500103788143
1710,7,9,2,1,480,902,576,2.0,2,11.849404844423074
2034,7,8,2,2,645,1057,1057,3.0,2,12.299112067295642
2473,8,9,3,2,852,1143,1143,4.0,2,12.666660207428574
2207,7,7,2,1,576,2207,1947,3.0,2,12.100717685412471
1479,7,7,2,2,558,1479,1453,3.0,2,12.328294703023394
747,4,4,1,1,220,747,747,2.0,1,11.289794413577894
2287,7,7,2,1,667,1304,1304,2.0,2,12.323860125621126
2223,7,8,2,1,516,2223,2223,3.0,2,12.404927602627597
845,4,4,2,1,360,845,845,2.0,1,11.771443882099637
1718,7,7,2,1,427,885,832,3.0,2,12.128116509451258
1086,5,6,2,1,490,1086,1086,2.0,1,11.88380602959621
1605,3,8,1,1,379,840,840,1.0,2,11.58432477200052
988,4,5,1,1,297,526,462,3.0,1,11.418625774449598
952,4,4,1,1,283,952,952,2.0,1,11.818577604251555
1285,5,6,1,1,240,1072,672,2.0,1,11.751950239425476
1768,4,8,0,1,0,1768,1768,2.0,2,11.824087219587643
1230,5,5,2,1,440,682,440,2.0,1,11.608244735642321
2142,6,8,1,2,509,1182,896,3.0,2,12.173037959397275
1337,6,5,2,1,405,1337,1237,4.0,2,11.941462360646149
1563,8,6,3,2,758,1563,1563,3.0,2,12.409017571151187
1065,5,6,2,1,461,1065,1065,2.0,1,11.748005492256807
1474,7,7,2,1,400,804,384,3.0,2,12.034696963475044
2417,8,9,2,2,462,1301,1288,3.0,2,12.468440756144114
1560,6,6,2,2,400,684,684,3.0,2,12.066816325306588
1224,6,4,2,2,528,612,612,3.0,2,12.010671928196443
1526,3,6,0,0,0,1013,1013,2.0,1,11.350418300109132
990,4,5,0,1,0,990,990,3.0,1,11.724813914587886
1040,4,4,2,1,420,1040,0,0,1,11.60733523953139
1235,5,6,2,1,480,1235,1235,2.0,1,11.498836682527127
964,5,5,2,1,432,964,876,3.0,1,12.004574385508691
2291,6,9,2,1,506,1260,1214,2.0,2,11.804855999911272
1786,6,7,2,2,684,905,824,3.0,2,12.229549885708273
1470,6,6,2,1,420,680,680,3.0,2,12.128116509451258
1588,7,6,2,2,472,1588,1588,3.0,2,12.273735966890268
960,4,6,1,1,432,960,960,2.0,1,11.459007676978688
835,5,5,1,1,366,835,458,2.0,1,11.326607934898927
1225,4,6,0,1,0,1225,950,2.0,1,11.767187766223199
1610,6,6,2,2,480,1610,1610,2.0,2,12.230770136157428
1732,6,7,2,2,476,977,741,3.0,2,12.08954444723597
1535,5,8,2,1,410,1535,0,0,2,11.68658461118553
1226,7,6,3,2,740,1226,1226,3.0,2,12.200562492481511
1818,7,7,1,1,240,1226,1040,2.0,1,12.040614105490253
1992,8,9,2,2,648,1053,1053,4.0,2,12.429220196836383
1047,4,6,1,1,273,1047,641,1.0,1,11.51293546492023
789,5,5,1,1,250,789,789,2.0,1,11.652696102959753
1517,5,7,0,0,0,997,793,2.0,2,11.652696102959753
1844,6,7,2,1,546,1844,1844,3.0,2,12.154784614286667
1855,6,7,1,1,325,1216,994,2.0,2,11.827013315851762
1430,7,7,2,1,400,774,384,3.0,2,12.100717685412471
2696,7,10,3,3,792,1282,1264,4.0,2,12.85832230788469
2259,6,7,2,2,450,2259,1809,3.0,2,12.28765724080691
2320,6,9,1,2,180,1436,1028,2.0,2,12.466515835145202
1458,6,5,2,1,440,729,729,3.0,2,12.07824495582233
1092,5,6,1,1,288,1092,1092,2.0,1,11.842236406331555
1125,5,5,2,1,430,1125,1125,3.0,1,11.951186847493476
3222,7,11,3,2,594,1699,1673,3.0,3,12.676079399771027
1456,6,8,2,2,390,728,728,3.0,2,12.0075668272517
988,6,4,2,1,540,988,938,2.0,1,12.100717685412471
1123,4,4,1,1,264,772,732,2.0,1,11.51293546492023
1080,6,5,1,1,288,1080,1080,2.0,1,11.820417517632333
1199,6,5,2,2,530,1199,1199,3.0,2,11.944064817531656
1586,6,7,2,1,435,1586,1362,3.0,2,12.10625783509458
754,6,5,0,1,0,520,520,2.0,1,11.344518647594766
958,6,5,2,1,440,958,1078,3.0,2,11.759793355371237
840,5,5,0,1,0,840,672,2.0,1,11.373674891823535
1348,6,6,2,1,453,660,660,2.0,1,11.951186847493476
1053,5,6,2,3,750,1053,1008,2.0,1,11.918397239722838
2157,7,8,2,2,487,1216,924,2.0,2,12.328294703023394
2054,6,7,2,2,390,1022,992,3.0,2,12.404927602627597
1327,5,7,2,2,624,1327,1063,2.0,1,11.923384748066601
1296,8,6,2,2,471,1296,1267,4.0,2,12.301387370778713
1721,5,7,2,1,440,1721,1461,2.0,2,12.100717685412471
1682,7,7,2,1,530,1682,1304,2.0,2,12.066816325306588
1214,5,5,1,1,318,1214,1214,2.0,2,11.870606902224587
1959,7,9,3,1,766,1959,1907,2.0,3,12.049424683420915
1852,8,7,3,2,660,1004,1004,3.0,2,12.345838935721968
1764,6,7,2,2,470,928,928,3.0,2,12.352339472153524
864,4,5,0,1,0,864,864,2.0,1,11.652696102959753
1734,7,7,2,2,660,1734,1734,3.0,2,12.468440756144114
1385,5,6,2,1,720,910,910,2.0,2,12.019749091416921
1501,7,6,2,2,577,1501,1490,3.0,2,12.225880174775122
1728,5,10,2,1,504,1728,1728,2.0,2,11.736077016252437
1709,6,7,2,2,380,970,970,3.0,2,11.775297421715827
875,5,5,1,1,180,875,715,2.0,1,11.561725152903833
2035,7,8,2,2,434,884,884,3.0,2,12.312686874960354
1080,7,6,0,2,0,1080,1080,3.0,1,11.856522261533737
1344,5,7,1,1,240,896,896,3.0,1,11.652696102959753
969,5,5,2,1,440,969,969,2.0,1,11.711784520403112
1710,8,6,3,2,866,1710,1710,4.0,2,12.827731880206521
1993,6,8,2,1,495,1097,825,2.0,2,12.154784614286667
1252,6,4,2,1,564,1252,1602,3.0,1,12.367345048436391
1200,6,7,1,1,312,1200,1200,2.0,1,11.736077016252437
1096,6,5,0,1,0,572,572,2.0,1,11.277215789596893
1040,5,5,2,1,625,1040,0,0,1,11.603688960617083
1968,8,8,3,3,680,774,774,4.0,2,12.504327379899443
1947,7,8,2,2,678,991,991,3.0,2,12.448630513463613
2462,7,9,2,2,576,1392,1392,3.0,2,12.676079399771027
1232,6,6,2,1,516,1232,1232,3.0,2,11.998439434579149
2668,9,10,3,3,726,1572,1572,4.0,2,12.929993908996359
1541,7,7,2,2,532,1541,1541,3.0,2,12.301387370778713
882,4,4,0,1,0,882,882,2.0,1,11.544433821905134
1616,6,5,1,2,216,1149,1149,2.0,2,11.931642378754141
1355,5,6,0,1,0,808,644,2.0,2,11.755879486687116
1867,5,7,1,1,303,1867,1617,2.0,1,12.154784614286667
2161,8,8,3,3,789,1610,1582,4.0,1,12.693501691489768
1720,7,7,2,2,440,840,840,3.0,2,12.119975396053194
1707,8,6,2,1,511,1707,1686,3.0,2,12.337105293891872
1382,5,7,2,1,660,854,720,2.0,1,11.763691965388299
1656,6,7,2,1,528,1656,1080,2.0,1,12.278397958261774
1767,7,5,2,2,504,1064,1064,3.0,2,12.384223015005313
1362,6,6,2,1,504,1362,1362,2.0,1,12.001511614739405
1651,6,7,2,1,616,1651,1606,3.0,2,12.122696471358964
2158,6,7,2,2,576,2158,1202,2.0,2,12.400820837540556
2060,6,8,2,1,521,1164,1151,3.0,2,12.259618151783465
1920,5,8,2,2,451,1252,1052,2.0,2,12.058158312538197
2234,9,9,3,3,1166,2234,2216,4.0,2,13.126032637428713
968,5,5,2,1,480,968,968,2.0,1,11.51293546492023
1525,6,5,2,2,440,769,756,3.0,2,12.083910661257521
1802,7,9,1,1,216,901,793,1.0,1,12.206577518060588
1340,5,7,1,1,252,1340,0,0,1,11.695255355062795
2082,7,6,2,2,484,1362,1362,3.0,2,12.206077645517674
1252,5,5,2,1,576,936,504,1.0,1,11.751950239425476
3608,10,12,3,3,840,1518,1107,2.0,2,13.07107218827772
1217,7,6,2,2,497,1217,1188,3.0,2,12.06105265381003
1656,5,8,1,1,180,808,660,1.0,2,11.813037464800539
1224,5,6,2,1,528,1224,1086,3.0,0,11.940399914116648
1593,8,5,2,3,682,1593,1593,4.0,1,12.563750586299374
2727,8,10,2,2,440,1549,853,3.0,2,12.660331092405906
1479,7,7,2,2,484,725,725,2.0,1,12.122696471358964
1431,7,6,2,2,666,1431,1431,3.0,2,12.165255859329688
1709,7,7,2,2,380,970,970,3.0,2,11.775297421715827
864,5,5,1,1,352,864,864,2.0,1,11.751950239425476
1456,6,7,2,1,440,855,855,3.0,2,11.908346971208951
1726,7,8,3,3,786,1726,1726,4.0,2,12.650351332641707
3112,8,8,2,2,795,1360,1360,2.0,2,12.367345048436391
2229,6,8,0,1,0,929,755,2.0,1,11.552155793461898
1713,8,7,3,3,856,1713,1713,4.0,2,12.524166311833152
1121,4,5,2,1,440,1121,1121,3.0,2,11.849404844423074
1279,6,6,2,1,473,1279,1196,2.0,2,12.052344376474922
1310,6,6,1,1,398,865,617,1.0,2,11.626263078808801
848,6,3,2,2,420,848,848,3.0,1,11.91170829631447
1284,5,5,1,1,240,720,720,2.0,1,11.608244735642321
1442,7,5,2,1,500,1442,1424,3.0,2,12.103491596905931
1696,5,8,1,1,349,1696,1140,2.0,1,11.87688084212164
1100,4,6,1,1,312,1100,1100,2.0,1,11.856522261533737
2062,7,7,2,1,454,1180,1157,3.0,2,12.531776395271262
1092,6,6,2,1,504,1092,1092,3.0,1,11.884495917930655
864,5,5,0,1,0,864,864,2.0,1,11.49273296168228
1212,6,6,2,2,460,1212,1212,3.0,2,12.133507329024972
1852,7,7,2,2,644,932,900,3.0,2,12.439875187430008
990,5,5,2,1,576,990,990,3.0,1,11.957617696467539
1392,6,6,1,1,299,689,689,3.0,1,11.993813394724253
1236,5,6,1,2,447,1236,1070,2.0,1,11.808955099378537
1436,7,8,2,2,484,1436,1436,3.0,2,12.25486757159303
1328,4,8,1,1,210,810,686,2.0,1,11.580593459194764
1954,7,8,2,2,431,1137,798,2.0,1,12.649157827477366
1248,7,5,2,2,438,1248,1248,3.0,2,12.027191164883384
1498,7,5,2,2,675,1498,1498,3.0,2,12.230282214644559
2267,6,8,2,2,390,1010,1010,3.0,2,12.206077645517674
1552,6,6,2,1,434,811,713,3.0,2,12.100161978566867
864,4,4,2,1,576,864,864,2.0,1,11.48247656671073
2392,10,8,3,3,968,2392,2392,4.0,2,12.864242696187505
1302,5,6,1,1,280,630,630,2.0,2,11.626263078808801
2520,7,9,3,2,721,1214,1203,3.0,2,12.577639650232573
987,6,5,1,1,280,483,483,2.0,1,11.571203807011969
912,5,5,1,1,336,912,912,2.0,1,11.736077016252437
1555,7,7,2,2,430,1555,1373,3.0,2,12.167856627501678
1194,6,6,1,1,312,1194,1194,2.0,1,11.904974309480183
2794,8,9,3,3,810,1490,1462,3.0,2,12.90669432231532
987,6,5,1,1,288,483,483,2.0,1,11.456365695436427
894,5,5,1,1,308,894,894,2.0,1,11.761354623750297
1960,6,8,2,2,440,860,860,3.0,2,12.285350445351659
987,6,5,1,1,264,483,483,2.0,1,11.402005077384885
1414,7,6,2,2,494,1414,1414,3.0,2,12.130815551850676
1744,7,7,2,2,457,1014,996,3.0,2,12.178192583415596
1694,8,7,3,2,818,1694,1694,4.0,2,12.669809806411457
1487,6,7,1,1,220,798,735,2.0,1,11.635151947212842
1566,8,7,2,2,750,1566,1566,3.0,2,12.47801017053037
866,5,4,0,2,0,866,686,2.0,1,11.612779849672751
1440,5,6,1,1,352,889,540,2.0,1,11.277215789596893
1217,6,6,1,1,288,626,626,3.0,1,11.695255355062795
2110,7,8,2,2,463,1222,948,3.0,2,12.230770136157428
1872,7,6,2,1,604,1872,1845,3.0,2,12.394628892852941
1928,6,9,1,0,440,908,1020,1.0,2,11.827743504053695
1375,6,5,2,1,451,1375,1367,2.0,1,11.849404844423074
1668,7,8,2,2,500,840,840,3.0,2,12.100717685412471
2144,6,7,2,2,389,1444,1444,3.0,2,12.531776395271262
1306,3,6,0,0,0,1306,728,2.0,1,11.245059091624615
1625,8,5,2,2,538,1625,1573,3.0,2,12.367345048436391
1640,6,6,2,2,520,798,798,3.0,2,12.06105265381003
1302,6,7,1,2,309,1302,1302,3.0,2,11.970356641102999
1314,5,5,1,1,294,1314,1314,2.0,1,11.884495917930655
2291,7,8,2,2,429,1005,975,3.0,2,12.345838935721968
1728,6,7,2,2,673,864,864,3.0,2,12.242891437918386
1604,7,8,2,2,660,1604,1604,3.0,2,12.301387370778713
1792,7,7,2,2,564,963,963,3.0,2,12.352339472153524
882,5,4,1,1,308,882,0,0,1,11.48247656671073
1382,6,6,2,1,884,1382,1362,2.0,1,12.07824495582233
2574,8,10,3,3,868,1482,1482,4.0,2,12.52815976788113
1212,6,6,2,1,492,1212,506,3.0,1,11.92504173829169
1316,5,6,2,1,484,926,926,2.0,1,11.775297421715827
764,5,4,2,1,504,764,680,1.0,1,11.19822841866684
1422,6,7,2,2,576,1422,1422,3.0,2,12.075400019877522
1511,6,8,2,1,413,802,802,3.0,2,12.128116509451258
2192,5,8,1,2,240,1052,720,2.0,2,12.097936057925594
778,5,4,1,1,924,778,740,2.0,1,11.699413330633599
1113,6,6,1,1,504,1113,1143,2.0,1,11.904974309480183
1939,8,8,3,2,1053,1095,1095,3.0,2,12.491255347155265
1363,7,5,2,1,439,1363,1385,3.0,1,12.394628892852941
2270,8,9,3,2,671,1164,1152,3.0,2,12.577639650232573
1632,6,6,1,1,338,1632,1240,2.0,2,11.842236406331555
816,5,5,1,1,264,816,816,2.0,1,11.732069026983156
1548,7,5,2,3,672,952,952,2.0,2,12.230770136157428
1560,7,7,2,2,573,1560,1560,4.0,2,12.211065162153215
864,4,4,2,1,400,864,864,2.0,1,11.856522261533737
2121,9,8,3,3,732,2121,2121,4.0,2,12.936754021718041
2022,7,8,2,1,505,1156,1160,3.0,2,12.165255859329688
1982,7,7,2,2,575,1175,807,3.0,2,12.339295865674435
1262,6,5,2,2,572,1262,1262,3.0,2,12.128116509451258
1314,7,6,2,2,626,1314,1314,3.0,2,12.242891437918386
1468,8,6,3,2,898,1468,1468,3.0,2,12.407383590534293
1575,6,5,2,2,529,1575,1575,3.0,2,12.09626335986454
1250,7,5,2,2,528,625,625,3.0,2,12.011886987792716
1734,6,7,2,2,440,1085,912,2.0,1,11.976665770490767
858,4,5,0,1,0,858,858,2.0,1,11.385103457032141
900,5,5,1,1,280,900,882,2.0,1,11.711784520403112
1396,6,7,1,1,384,698,698,2.0,1,11.941950837487406
1919,8,8,2,2,685,1079,1079,3.0,2,12.359784657728284
1716,5,9,0,0,0,936,780,2.0,2,11.819681958463892
1716,5,8,1,1,281,1148,768,2.0,1,11.782960235741939
2263,7,9,2,2,539,1468,795,2.0,2,12.367345048436391
1644,6,7,2,1,418,1644,1416,2.0,1,12.025755079404917
1003,6,6,2,1,588,1003,1003,2.0,1,11.86710429621008
1558,5,6,1,1,282,910,910,2.0,1,11.931642378754141
1950,7,7,2,2,576,975,975,3.0,2,12.384223015005313
1743,6,7,2,1,539,1041,702,2.0,1,12.07254696717504
1152,6,6,1,2,300,1152,1092,2.0,1,11.973516181427835
1336,5,5,1,1,375,1336,1165,2.0,1,11.964007453736912
2452,8,9,2,2,683,1210,1028,3.0,2,12.495007682693725
1541,7,6,3,2,843,1541,1541,3.0,2,12.230770136157428
894,5,5,2,1,552,894,894,2.0,1,11.917730355182513
3493,7,10,3,2,870,1675,1470,2.0,3,12.59473402514672
2000,8,8,3,2,888,2000,2000,3.0,2,12.631016799175821
2243,7,8,3,2,746,1122,700,3.0,2,12.323860125621126
1406,6,6,0,0,0,1035,319,2.0,1,11.402005077384885
861,4,4,2,1,539,861,861,2.0,1,11.320565693461432
1944,9,8,3,3,708,1944,1896,4.0,2,12.793862088206213
1501,6,6,2,2,420,697,697,3.0,2,12.017336559562407
972,6,5,1,1,240,972,972,2.0,1,11.790564777297387
1118,5,5,2,1,410,793,793,3.0,1,11.694421681264394
2036,7,8,2,1,513,2036,2136,3.0,2,12.834683971615659
1641,7,6,2,3,546,832,728,2.0,1,12.08954444723597
1432,7,6,2,2,432,716,716,3.0,2,12.146858590895919
2353,7,10,2,3,484,1153,845,3.0,2,12.468440756144114
1959,8,8,3,2,1025,1088,1088,3.0,2,12.506180941677357
2646,7,9,3,2,656,1372,1347,3.0,2,12.468440756144114
1472,7,6,2,1,588,1472,1372,3.0,2,12.141539457711714
2596,9,9,3,2,840,1249,1249,4.0,3,12.74444728628135
2468,8,10,3,2,872,1136,1136,4.0,2,12.777055016970678
2730,7,8,2,2,576,1553,1502,2.0,2,12.614868865984631
1163,3,6,1,1,220,1163,1162,2.0,1,11.745433036677353
2978,7,11,2,2,564,1898,710,3.0,2,12.396697137361691
803,5,5,2,1,360,803,720,2.0,1,11.373674891823535
1719,8,6,2,2,473,1719,1719,3.0,1,12.688501881189456
1383,6,7,1,1,292,1383,1383,2.0,1,11.886218559372042
2134,6,10,2,2,441,1445,844,2.0,2,12.276069679344003
1192,5,6,1,1,189,596,596,2.0,1,11.264476926102367
1728,5,10,1,1,352,1728,1728,2.0,2,11.686887175419702
1056,5,6,1,1,308,1056,1056,2.0,1,11.842236406331555
1629,8,7,3,2,880,1629,3206,3.0,2,12.556733038263905
1358,7,6,2,2,484,1358,1358,3.0,2,12.240478903153711
1638,6,7,2,1,472,943,943,3.0,2,12.165255859329688
1786,5,7,2,1,529,1619,1499,2.0,2,12.34126328584159
1922,9,8,3,2,676,1922,1922,4.0,2,12.841132451487937
1536,7,7,2,2,532,1536,1536,3.0,2,12.273735966890268
1621,7,8,2,2,440,1621,1208,3.0,2,12.218500103788143
1215,6,6,1,1,297,1215,1215,2.0,1,11.951186847493476
1908,8,9,2,2,431,993,967,3.0,2,12.220473454337986
841,4,4,1,1,294,841,721,2.0,1,11.314486721293981
1040,3,6,2,1,400,1040,0,0,2,11.37940550085183
1684,9,6,2,3,564,1684,1684,4.0,2,12.491255347155265
1112,5,4,1,1,336,536,536,3.0,1,11.350418300109132
1577,6,6,1,0,312,972,972,2.0,1,11.850832386224807
958,6,5,1,1,301,958,958,2.0,1,11.928347504569842
1478,6,6,2,1,498,1478,1478,2.0,2,11.967187086434018
1626,7,6,2,2,474,764,764,3.0,2,11.944714374881176
2728,9,10,3,3,706,1848,1848,4.0,2,12.988043102265232
1869,9,6,2,3,617,1869,1869,4.0,2,12.670001611311875
1453,7,6,2,2,445,1453,1453,3.0,1,12.154784614286667
1111,5,5,1,1,200,616,616,2.0,1,11.461642696843066
720,6,5,2,1,484,720,624,2.0,1,11.570259974415547
1595,6,6,1,1,240,1192,940,2.0,1,11.849404844423074
1200,6,6,2,2,521,1200,1200,3.0,2,12.086731521684555
1167,6,6,2,2,400,1167,1158,3.0,2,12.06105265381003
1142,5,6,2,1,528,1142,1142,3.0,1,11.80560254159177
1352,5,6,1,2,288,1352,1062,2.0,1,11.775297421715827
1924,8,7,2,2,592,1086,1086,3.0,2,12.54254845357358
912,6,5,2,1,470,912,888,3.0,1,11.957617696467539
1505,5,8,1,1,240,988,883,2.0,1,11.884495917930655
